blue_x,blue_y
-12.2686,6.61784
-9.65737,7.2378
7.33516,9.03961
10.548,10.5892
13.1479,11.1316
15.2725,10.0791
16.8037,8.23821
-6.90273,7.20128
16.7063,6.10772
15.876,3.47906
15.106,1.5027
13.6765,-0.472612
9.41953,-2.84739
12.0732,-1.43122
7.26282,-3.9408
4.65159,-5.15509
1.78774,-6.66723
-1.97969,-8.56329
-3.80615,7.33616
-5.18123,-10.5555
-8.34841,-12.1551
-9.78487,-11.8592
-11.3484,-11.1551
-13.2946,-8.64709
-14.2998,-6.05581
-14.0528,-3.05427
-13.6807,-0.101053
-13.3484,2.84491
-0.595997,7.27843
-13.3484,4.84491
2.90884,7.57594
