red_x,red_y
-17.0129,9.72719
-12.7541,12.8712
-8.31569,13.0924
9.62956,15.8379
12.492,17.0404
15.1389,16.5025
19.5034,13.6361
20.8922,11.7012
17.5221,15.3812
21.4761,8.79574
20.9992,5.27662
19.9925,2.24053
19.0983,-0.671871
17.1824,-3.23994
11.114,-6.74408
-4.06552,13.3637
14.2831,-5.26437
8.25363,-8.53889
5.06185,-10.1551
1.42086,-11.9634
-2.4975,-14.0305
-5.74864,-16.1217
-9.34841,-17.1551
-12.2114,-16.6459
-14.4625,-14.9249
-16.2427,-13.276
-0.131239,13.3125
-17.8615,-11.5349
-19.1945,-8.52656
-18.9382,-5.15509
-18.8625,-4.02997
-18.6872,-0.45783
-18.1384,2.83132
-17.8432,6.27091
-15.5443,12.0063
3.50416,13.7245
7.13676,14.727
